61884;545.632.624;78705.9
60962;7.630.178.224;214960.2
59919;6.026.145.955;127912.2
13717;1.957.151.335;12855.7
567481;6.397.014.561;549571.1
194530;2.653.289.251;514389.2
3677115;3.843.140.922;6948566.3
50694;8.299.940.155;110180.2
69661;7.544.407.243;60732.1
100653;2.276.672.221;115741.6
56663;5.817.587.883;73426.6
10273;9.791.244.802;110865.3
139341;2.226.410.383;149069.7
53808;6.585.300.511;51664.6
38878;3.613.200.002;41992.6
62008;7.061.546.839;56379.7
1000;5.957.946.167;8543.6
23274;1.597.908.204;204119.5
58492;4.787.938.817;288467.4
196751;9.004.887.015;527325.5
123184;1.355.528.689;193923.6
52070;5.375.992.617;225680
215652;2.700.204.548;280165.6
104020;7.374.278.412;226768.1
67349;7.949.710.793;84992.7
127867;1.266.153.922;240308.9
37654;1.265.702.611;190659.3
73772;7.270.242.164;153180.3
51157;490.081.942;40138.8
58297;5.736.259.916;121020.9
23570;3.418.010.578;16926
49857;4.602.332.567;17732
27504;2.193.918.962;27887.6
22868;2.742.893.293;48964.5
59641;425.048.414;38768.6
81770;6.919.528.111;172322.8
